Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,Animal Type Specify,Water Status
2009,1,Minnesota,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Hotel/motel,21,0,19,0,19,,,,,,,,
2009,2,Minnesota,Person-to-person,Norovirus,,Suspected,"Other, specify",50,0,0,0,50,,,,,,,,
2009,1,Minnesota,Person-to-person,Norovirus unknown,,Confirmed,Restaurant,24,0,24,0,24,,,,,,,,
2009,1,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,69,0,69,0,69,,,,,,,,
2009,1,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,38,4,38,0,38,,,,,,,,
2009,1,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,36,2,36,0,36,,,,,,,,
2009,1,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,47,6,47,0,47,,,,,,,,
2009,2,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,46,0,46,0,46,,,,,,,,
2009,2,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,11,0,11,0,11,,,,,,,,
2009,1,Alaska,Person-to-person,Norovirus unknown,,Confirmed,,6,0,6,0,6,,,,,,,,
2009,1,Alaska,Person-to-person,Norovirus unknown,,Confirmed,,6,0,6,0,6,,,,,,,,
2009,1,Alaska,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,,12,0,12,0,12,,,,,,,,
2009,2,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,25,0,25,0,25,,,,,,,,
2009,2,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Restaurant,10,0,10,0,10,,,,,,,,
2009,1,Iowa,Person-to-person,Norovirus unknown,,Confirmed,Restaurant,56,2,56,0,56,,,,,,,,
2009,1,Iowa,Person-to-person,,,,,27,0,27,0,27,,,,,,,,
2009,3,Iowa,Person-to-person,Norovirus,,Suspected,School/college/university,33,0,5,0,5,,,,,,,,
2009,1,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,,52,0,52,0,52,,,,,,,,
2009,3,Louisiana,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,,18,0,18,0,18,,,,,,,,
2009,2,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,43,0,43,0,43,,,,,,,,
2009,1,Pennsylvania,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,25,0,25,0,25,,,,,,,,
2009,2,Pennsylvania,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,30,0,30,0,30,,,,,,,,
2009,2,Ohio,Person-to-person,,,,Long-term care/nursing home/assisted living facility,58,11,58,0,58,,,,,,,,
2009,1,Maine,Person-to-person,,,,Long-term care/nursing home/assisted living facility,28,0,0,0,0,,,,,,,,
2009,1,Maine,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Hospital,11,0,0,0,0,,,,,,,,
2009,1,Arkansas,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,20,1,20,0,20,,,,,,,,
2009,1,Ohio,Person-to-person,,,,Long-term care/nursing home/assisted living facility,42,0,42,0,42,,,,,,,,
