,Illnesses,PASSENGERS,population,perNoYrly,Ycity,Unnamed: 0,DENSITY,POP
465,35.0,496.0,38601.0,34.400000000000006,"Burlington, VT",18017.0,4162.3648709,42899.0
491,368.0,0.0,50427.0,20.799999999999997,"Charleston, WV",18604.0,1498.845991,47215.0
499,276.0,0.0,55443.0,36.6,"Cheyenne, WY",19410.0,2244.3683312,63957.0
370,625.0,0.0,77540.0,23.700000000000003,"Youngstown, OH",13762.0,1914.4160901,64958.0
344,132.0,0.0,60280.0,26.5,"Schenectady, NY",11813.0,6076.1866067,65575.0
266,338.0,11.0,63142.0,29.700000000000003,"Portland, ME",7365.0,3079.2855846,66417.0
261,508.0,0.0,69721.0,28.099999999999994,"Kenner, LA",7192.0,4479.5195198,66657.0
101,0.0,0.0,67791.0,32.8,"Redondo Beach, CA",1543.0,10877.264583,67412.0
340,132.0,0.0,68137.0,24.400000000000006,"Mount Vernon, NY",11678.0,15417.560565,67593.0
251,453.0,0.0,65836.0,30.299999999999997,"Waterloo, IA",5947.0,1102.5647962,67798.0
229,3191.0,0.0,67828.0,31.400000000000006,"Palatine, IL",4091.0,4997.1309258,68053.0
333,0.0,0.0,66121.0,25.0,"Union City, NJ",11194.0,53239.686849,68520.0
244,1247.0,0.0,65327.0,32.2,"Muncie, IN",4837.0,2500.5112643,68529.0
330,0.0,0.0,68845.0,25.099999999999994,"Passaic, NJ",11113.0,22326.607741,69948.0
363,625.0,0.0,78160.0,25.200000000000003,"Canton, OH",12970.0,2730.2118397,70458.0
75,0.0,0.0,72397.0,35.0,"Lynwood, CA",1446.0,14566.818878999999,70504.0
167,0.0,0.0,71356.0,22.5,"Wilmington, DE",2039.0,6477.8365814,70635.0
224,3191.0,0.0,77868.0,31.299999999999997,"Decatur, IL",3486.0,1684.5542927000001,71290.0
100,0.0,0.0,70287.0,34.0,"Redlands, CA",1542.0,1997.4279917999997,71586.0
393,1093.0,0.0,74965.0,19.0,"Pawtucket, RI",15613.0,8289.3854263,71847.0
304,282.0,0.0,71329.0,27.400000000000006,"Gulfport, MS",9076.0,1291.9575134000002,71870.0
184,32.0,0.0,59861.0,19.5,"Lauderhill, FL",2251.0,8462.0606514,72094.0
243,1247.0,0.0,62231.0,34.900000000000006,"Lafayette, IN",4746.0,2456.5193936,72168.0
162,86.0,0.0,71455.0,26.299999999999997,"New Britain, CT",1972.0,5425.1835436,72453.0
498,2626.0,0.0,68112.0,32.0,"Waukesha, WI",19350.0,2842.0335036999995,72549.0
357,447.0,0.0,68015.0,25.400000000000006,"Jacksonville, NC",12163.0,1501.2932349000002,72896.0
291,516.0,0.0,76828.0,23.299999999999997,"Southfield, MI",8040.0,2786.319266,73158.0
133,0.0,0.0,67940.0,35.8,"Turlock, CA",1642.0,4343.4012518,73504.0
28,0.0,0.0,64271.0,34.7,"Apple Valley, CA",1215.0,981.15650647,73508.0
232,3191.0,0.0,73451.0,30.799999999999997,"Schaumburg, IL",4251.0,3811.7479963,73509.0
325,0.0,0.0,80412.0,21.900000000000006,"Camden, NJ",10944.0,8294.3542617,73973.0
226,3191.0,0.0,75311.0,29.400000000000006,"Evanston, IL",3570.0,9525.9334288,74106.0
400,571.0,0.0,59766.0,31.200000000000003,"Rock Hill, SC",15817.0,1954.113153,74309.0
315,146.0,24.0,63164.0,38.4,"Missoula, MT",10292.0,2543.2240860999996,74428.0
492,2626.0,3.0,70112.0,30.5,"Appleton, WI",18811.0,3047.2876341999995,74526.0
135,0.0,0.0,69530.0,33.5,"Union City, CA",1646.0,3843.3077122,74559.0
290,516.0,0.0,68895.0,30.099999999999994,"Rochester Hills, MI",8004.0,2277.0206881,74696.0
442,354.0,0.0,69715.0,27.099999999999994,"Missouri City, TX",17264.0,2573.0220701,74705.0
220,3191.0,0.0,73220.0,30.5,"Bolingbrook, IL",3309.0,3054.2418636999996,75178.0
217,3191.0,0.0,74995.0,31.299999999999997,"Arlington Heights, IL",3231.0,4532.8886069,75249.0
202,25.0,0.0,75794.0,21.599999999999994,"Albany, GA",2464.0,1366.5482240000001,75249.0
240,1247.0,0.0,97966.0,27.0,"Gary, IN",4673.0,1514.1495012,75282.0
401,0.0,0.0,61888.0,31.900000000000006,"Rapid City, SD",16117.0,1383.6317697,75443.0
386,1618.0,0.0,73710.0,29.599999999999994,"Bethlehem, PA",14667.0,3964.8843328000003,75790.0
241,1247.0,0.0,78883.0,34.5,"Hammond, IN",4699.0,3328.9601992,75795.0
212,25.0,0.0,57764.0,23.299999999999997,"Warner Robins, GA",2965.0,2079.4045442,75797.0
30,0.0,0.0,80566.0,35.2,"Baldwin Park, CA",1229.0,11432.689424,75813.0
296,516.0,0.0,70308.0,28.599999999999994,"Wyoming, MI",8112.0,3078.4750346,75820.0
117,0.0,0.0,45993.0,34.900000000000006,"San Ramon, CA",1589.0,4058.4095615999995,75839.0
311,720.0,0.0,0.0,30.799999999999997,"St. Joseph, MO",10037.0,1725.1186063,75959.0
249,453.0,0.0,64170.0,29.299999999999997,"Iowa City, IA",5466.0,2981.3837815,76290.0
287,516.0,0.0,74138.0,28.299999999999997,"Kalamazoo, MI",7833.0,3103.294183,76545.0
21,0.0,0.0,58619.0,29.599999999999994,"Jonesboro, AR",950.0,962.61303412,76990.0
136,0.0,0.0,74230.0,33.900000000000006,"Upland, CA",1647.0,4932.4539313000005,77000.0
353,447.0,0.0,67869.0,27.099999999999994,"Gastonia, NC",12109.0,1491.3407064,77024.0
414,354.0,0.0,67341.0,31.700000000000003,"Baytown, TX",16619.0,2088.152632,77024.0
31,0.0,0.0,75847.0,33.099999999999994,"Bellflower, CA",1234.0,12604.947565,77131.0
391,1618.0,0.0,73206.0,28.299999999999997,"Scranton, PA",15383.0,3049.6070755,77182.0
456,8.0,0.0,62308.0,37.0,"Layton, UT",17882.0,3460.0779946999996,77303.0
497,2626.0,0.0,79263.0,29.099999999999994,"Racine, WI",19235.0,5004.219153,77432.0
155,54.0,0.0,59618.0,40.6,"Loveland, CO",1841.0,2262.2669935,77446.0
219,3191.0,0.0,70706.0,32.3,"Bloomington, IL",3304.0,2872.2555812,77962.0
263,508.0,0.0,70309.0,24.900000000000006,"Lake Charles, LA",7200.0,1804.0879894000002,78001.0
170,32.0,0.0,66442.0,22.299999999999997,"Boynton Beach, FL",2079.0,4830.5102164,78050.0
24,0.0,0.0,70443.0,33.400000000000006,"Alameda, CA",1204.0,7501.9798128,78338.0
341,132.0,0.0,72786.0,28.700000000000003,"New Rochelle, NY",11695.0,7607.719162100001,78742.0
368,625.0,0.0,82565.0,28.700000000000003,"Parma, OH",13478.0,3934.1338193000006,78751.0
54,0.0,0.0,67953.0,34.7,"Folsom, CA",1344.0,2841.935497,79022.0
95,0.0,0.0,46318.0,34.8,"Perris, CA",1516.0,2507.30535,79133.0
85,0.0,52.0,77015.0,37.2,"Napa, CA",1482.0,4415.575167,79263.0
301,203.0,0.0,72239.0,30.799999999999997,"Plymouth, MN",8743.0,2428.7126172,79450.0
446,354.0,0.0,60687.0,36.1,"Pharr, TX",17389.0,3372.8517411,79707.0
134,0.0,0.0,68728.0,33.900000000000006,"Tustin, CA",1643.0,7176.3402299,79795.0
70,0.0,0.0,82115.0,32.900000000000006,"Lakewood, CA",1415.0,8514.6282719,80140.0
272,174.0,0.0,72609.0,24.400000000000006,"Lawrence, MA",7552.0,11597.130461,80376.0
79,0.0,0.0,62636.0,34.5,"Milpitas, CA",1464.0,5891.0093264,80430.0
298,203.0,0.0,67595.0,29.799999999999997,"Brooklyn Park, MN",8210.0,3091.4740223000003,80610.0
