,zip_code,y-2016,lat,lon,major_city,radius_in_miles,state
0,601,17800,,,Adjuntas,,PR
1,602,39716,18.36,-67.18,Aguada,4,PR
2,603,51565,18.45,-67.11,Aguadilla,5,PR
3,606,6320,18.2,-66.9,Maricao,7,PR
4,610,27976,18.28,-67.13,Anasco,7,PR
5,612,63884,18.4,-66.68,Arecibo,7,PR
6,616,10321,18.4,-66.68,Bajadero,6,PR
7,617,24648,18.44,-66.56,Barceloneta,4,PR
8,622,7385,18,-67.16,Boqueron,5,PR
9,623,42711,18.1,-67.2,Cabo Rojo,9,PR
10,624,23945,,,Penuelas,,PR
11,627,33481,18.42,-66.86,Camuy,5,PR
12,631,1689,,,Castaner,,PR
13,637,24013,,,Sabana Grande,,PR
14,638,17795,18.3,-66.5,Ciales,8,PR
15,641,28925,18.2,-66.7,Utuado,9,PR
16,646,38292,,,Dorado,,PR
17,647,5711,17.98,-66.92,Ensenada,4,PR
18,650,14569,18.38,-66.56,Florida,3,PR
19,652,3893,18.46,-66.64,Garrochales,4,PR
20,653,12125,17.98,-66.92,Guanica,4,PR
21,656,19996,18.04,-66.79,Guayanilla,7,PR
22,659,41327,18.41,-66.8,Hatillo,6,PR
23,660,16678,18.13,-67.12,Hormigueros,3,PR
24,662,41986,,,Isabela,,PR
25,664,15693,18.23,-66.59,Jayuya,6,PR
26,667,24492,,,Lajas,,PR
27,669,27063,18.3,-66.9,Lares,7,PR
28,670,9087,18.24,-66.99,Las Marias,6,PR
29,674,41545,18.42,-66.49,Manati,5,PR
30,676,38488,,,Moca,,PR
31,677,14755,18.34,-67.23,Rincon,3,PR
32,678,26490,18.43,-66.93,Quebradillas,5,PR
33,680,50628,18.2,-67.5,Mayaguez,32,PR
34,682,32433,18.2,-67.5,Mayaguez,32,PR
35,683,32058,18.11,-67.04,San German,5,PR
36,685,40102,18.32,-66.97,San Sebastian,6,PR
37,687,32087,18.32,-66.42,Morovis,4,PR
38,688,12797,18.38,-66.62,Sabana Hoyos,4,PR
39,690,5328,18.49,-67.1,San Antonio,2,PR
40,692,36700,18.41,-66.34,Vega Alta,6,PR
41,693,57428,18.42,-66.4,Vega Baja,6,PR
42,694,66,18.42,-66.4,Vega Baja,6,PR
43,698,38502,18.1,-66.9,Yauco,8,PR
44,703,27797,18.25,-66.13,Aguas Buenas,4,PR
45,704,8390,17.96,-66.26,Aguirre,4,PR
46,705,24387,18.13,-66.27,Aibonito,4,PR
47,707,11506,18.02,-65.92,Maunabo,5,PR
48,714,18640,18,-66.06,Arroyo,3,PR
49,715,3692,18,-65.96,Mercedita,4,PR
50,716,29351,18,-66.6,Ponce,10,PR
51,717,17958,18,-66.6,Ponce,10,PR
52,718,26460,18.23,-65.74,Naguabo,6,PR
53,719,30094,18.29,-66.26,Naranjito,4,PR
54,720,22148,18.22,-66.45,Orocovis,7,PR
55,723,18135,,,Patillas,,PR
56,725,83479,18.2,-66.1,Caguas,7,PR
57,727,57079,18.2,-66.1,Caguas,7,PR
58,728,41245,18,-66.6,Ponce,10,PR
59,729,52897,18.33,-65.88,Canovanas,6,PR
60,730,33899,18,-66.6,Ponce,10,PR
61,731,14988,18,-66.6,Ponce,11,PR
62,735,12798,18.25,-65.67,Ceiba,7,PR
63,736,49841,18.1,-66.14,Cayey,6,PR
64,738,32409,18.3,-65.5,Fajardo,16,PR
65,739,37558,18.18,-66.17,Cidra,5,PR
66,740,1503,,,Puerto Real,,PR
67,741,5042,18.17,-65.75,Punta Santiago,2,PR
68,745,53395,,,Rio Grande,,PR
69,751,22110,18.03,-66.25,Salinas,6,PR
70,754,39218,18.15,-65.99,San Lorenzo,6,PR
71,757,22732,,,Santa Isabel,,PR
72,765,8801,18.1,-65.4,Vieques,11,PR
73,766,24489,18.13,-66.47,Villalba,4,PR
74,767,35734,18.1,-65.9,Yabucoa,8,PR
75,769,39630,18.1,-66.35,Coamo,7,PR
76,771,38132,18.2,-65.87,Las Piedras,6,PR
77,772,21096,18.42,-65.91,Loiza,6,PR
78,773,19237,18.34,-65.72,Luquillo,4,PR
79,775,1493,18.31,-65.28,Culebra,4,PR
80,777,40398,18.21,-65.9,Juncos,5,PR
81,778,46990,18.26,-65.97,Gurabo,4,PR
82,780,11597,18.1,-66.6,Coto Laurel,8,PR
83,782,18544,18.22,-66.22,Comerio,4,PR
84,783,34702,18.3,-66.33,Corozal,5,PR
85,784,41993,18.01,-66.14,Guayama,7,PR
86,786,287,18.16,-66.23,La Plata,2,PR
87,791,50515,18.14,-65.81,Humacao,5,PR
88,794,29635,18.2,-66.31,Barranquitas,5,PR
89,795,45852,18,-66.5,Juana Diaz,8,PR
90,901,6541,18.47,-66.1,San Juan,1,PR
91,906,76,18.37,-66.06,San Juan,6,PR
92,907,17472,18.45,-66.08,San Juan,2,PR
93,909,5563,18.441,-66.068,San Juan,0.681818182,PR
94,911,7227,18.45,-66.05,San Juan,0.795454545,PR
95,912,5758,18.44,-66.06,San Juan,0.738636364,PR
96,913,8333,18.46,-66.04,San Juan,0.738636364,PR
97,915,28173,18.43,-66.04,San Juan,1,PR
98,917,19005,18.42,-66.05,San Juan,1,PR
99,918,16400,18.42,-66.07,San Juan,1,PR
100,920,17576,18.41,-66.09,San Juan,2,PR
101,921,36104,18.39,-66.09,San Juan,1,PR
102,923,25745,,,San Juan,,PR
103,924,54062,18.41,-66.01,San Juan,2,PR
104,925,6924,18.401,-66.05,San Juan,0.511363636,PR
105,926,101337,,,San Juan,,PR
106,927,14229,,,San Juan,,PR
107,934,67,18.4,-66.15,Fort Buchanan,2,PR
108,936,893,18.37,-66.06,San Juan,6,PR
109,949,77458,,,Toa Baja,,PR
110,950,0,18.42,-66.24,Toa Baja,2,PR
111,951,8,18.42,-66.24,Toa Baja,2,PR
112,952,9078,18.43,-66.19,Sabana Seca,4,PR
113,953,72712,18.36,-66.26,Toa Alta,4,PR
114,956,71602,18.34,-66.17,Bayamon,6,PR
115,957,42155,18.34,-66.17,Bayamon,6,PR
116,959,48349,18.34,-66.17,Bayamon,6,PR
117,960,2429,18.34,-66.17,Bayamon,6,PR
118,961,30655,18.34,-66.17,Bayamon,6,PR
119,962,20509,18.44,-66.14,Catano,2,PR
120,965,7543,18.36,-66.11,Guaynabo,6,PR
121,966,15981,18.36,-66.11,Guaynabo,6,PR
122,968,3293,18.36,-66.11,Guaynabo,6,PR
123,969,43372,18.36,-66.11,Guaynabo,6,PR
124,971,28550,18.36,-66.11,Guaynabo,6,PR
125,976,61084,18.34,-65.99,Trujillo Alto,4,PR
126,979,15019,18.36,-65.97,Carolina,7,PR
127,982,14874,18.36,-65.97,Carolina,7,PR
128,983,38533,18.36,-65.97,Carolina,7,PR
129,985,33320,18.36,-65.97,Carolina,7,PR
130,987,58705,18.36,-65.97,Carolina,7,PR
131,1001,17423,42.07,-72.63,Agawam,3,MA
132,1002,29970,42.38,-72.52,Amherst,7,MA
133,1003,11296,42.39,-72.53,Amherst,1,MA
134,1005,5228,42.42,-72.12,Barre,7,MA
135,1007,14888,42.3,-72.4,Belchertown,8,MA
136,1008,1194,42.2,-73,Blandford,7,MA
137,1009,237,42.19,-72.31,Bondsville,6,MA
138,1010,3718,42.15,-72.2,Brimfield,6,MA
139,1011,1523,42.3,-73,Chester,7,MA
140,1012,528,42.39,-72.84,Chesterfield,5,MA
141,1013,22943,42.16,-72.6,Chicopee,3,MA
142,1020,30629,42.18,-72.56,Chicopee,4,MA
143,1022,2528,42.2,-72.56,Chicopee,2,MA
144,1026,1018,42.48,-72.93,Cummington,7,MA
145,1027,17872,42.3,-72.7,Easthampton,7,MA
146,1028,16063,42.06,-72.5,East Longmeadow,3,MA
147,1029,760,42.2,-73.09,East Otis,5,MA
148,1030,11278,42.07,-72.68,Feeding Hills,3,MA
149,1031,1192,42.34,-72.17,Gilbertville,4,MA
150,1032,590,42.45,-72.83,Goshen,3,MA
151,1033,6310,42.26,-72.5,Granby,4,MA
152,1034,2323,42.1,-73,Granville,8,MA
153,1035,5338,42.36,-72.59,Hadley,7,MA
154,1036,5190,42.07,-72.42,Hampden,4,MA
155,1037,755,42.38,-72.19,Hardwick,2,MA
156,1038,2853,42.39,-72.61,Hatfield,3,MA
157,1039,1194,42.37,-72.7,Haydenville,4,MA
158,1040,40280,42.22,-72.64,Holyoke,6,MA
159,1050,2343,42.3,-72.9,Huntington,7,MA
160,1053,1697,42.35,-72.71,Leeds,2,MA
161,1054,1972,42.47,-72.49,Leverett,4,MA
162,1056,21352,42.19,-72.46,Ludlow,4,MA
163,1057,8773,42.1,-72.33,Monson,6,MA
164,1060,15407,42.33,-72.63,Northampton,4,MA
165,1062,10867,42.33,-72.69,Florence,4,MA
166,1063,563,42.318,-72.638,Northampton,0.227272727,MA
167,1066,12,42.39,-72.61,North Hatfield,3,MA
168,1068,1825,42.35,-72.05,Oakham,4,MA
169,1069,8753,42.19,-72.31,Palmer,6,MA
170,1070,562,42.52,-72.93,Plainfield,4,MA
171,1071,1271,42.17,-72.85,Russell,5,MA
172,1072,1542,42.46,-72.42,Shutesbury,5,MA
173,1073,6081,42.23,-72.74,Southampton,5,MA
174,1074,228,42.42,-72.11,South Barre,7,MA
175,1075,17770,42.26,-72.58,South Hadley,4,MA
176,1077,9650,42.05,-72.77,Southwick,5,MA
177,1079,811,42.19,-72.31,Thorndike,6,MA
178,1080,2452,42.18,-72.37,Three Rivers,2,MA
179,1081,1823,42.06,-72.23,Wales,3,MA
180,1082,10612,42.3,-72.3,Ware,11,MA
181,1083,3148,42.22,-72.18,Warren,1,MA
182,1084,154,42.37,-72.87,West Chesterfield,3,MA
183,1085,41479,42.2,-72.8,Westfield,8,MA
184,1086,690,42.2,-72.8,Westfield,8,MA
185,1088,433,42.39,-72.65,West Hatfield,3,MA
186,1089,28575,42.12,-72.64,West Springfield,4,MA
187,1092,1191,42.21,-72.25,West Warren,0.852272727,MA
188,1093,289,42.46,-72.62,Whately,5,MA
189,1094,347,42.35,-72.142,Wheelwright,0.113636364,MA
190,1095,14569,42.13,-72.43,Wilbraham,5,MA
191,1096,2564,42.4,-72.8,Williamsburg,8,MA
192,1097,78,42.17,-72.85,Woronoco,5,MA
193,1098,1117,42.4,-72.95,Worthington,6,MA
194,1103,2430,42.103,-72.591,Springfield,0.681818182,MA
195,1104,23183,42.13,-72.57,Springfield,3,MA
196,1105,11576,42.1,-72.58,Springfield,3,MA
197,1106,15983,42.05,-72.57,Longmeadow,3,MA
198,1107,11474,42.12,-72.6,Springfield,1,MA
199,1108,28449,42.08,-72.56,Springfield,2,MA
200,1109,30139,42.12,-72.55,Springfield,2,MA
201,1118,14293,42.1,-72.52,Springfield,2,MA
202,1119,13091,42.12,-72.51,Springfield,2,MA
203,1128,2695,42.1,-72.49,Springfield,0.965909091,MA
204,1129,7220,42.12,-72.49,Springfield,3,MA
205,1151,9295,42.15,-72.51,Indian Orchard,2,MA
206,1199,0,42.103,-72.591,Springfield,0.681818182,MA
207,1201,45001,42.5,-73.3,Pittsfield,8,MA
208,1220,8266,42.63,-73.13,Adams,5,MA
209,1222,829,42.06,-73.32,Ashley Falls,2,MA
210,1223,2247,42.3,-73.1,Becket,8,MA
211,1224,176,42.516,-73.193,Berkshire,0.625,MA
212,1225,3192,42.56,-73.15,Cheshire,5,MA
213,1226,6885,42.48,-73.15,Dalton,6,MA
214,1229,102,42.3,-73.33,Glendale,4,MA
215,1230,8195,42.2,-73.3,Great Barrington,11,MA
216,1235,2666,42.4,-73.1,Hinsdale,8,MA
217,1236,1422,42.28,-73.37,Housatonic,5,MA
218,1237,2755,42.56,-73.23,Lanesboro,7,MA
219,1238,5950,42.3,-73.22,Lee,6,MA
220,1240,4592,42.37,-73.28,Lenox,4,MA
221,1242,429,42.37,-73.27,Lenox Dale,4,MA
222,1243,381,42.35,-73,Middlefield,4,MA
223,1244,82,42.2,-73.3,Mill River,11,MA
224,1245,870,42.19,-73.23,Monterey,4,MA
225,1247,15725,42.7,-73.1,North Adams,8,MA
226,1253,734,42.2,-73.1,Otis,5,MA
227,1254,985,42.38,-73.37,Richmond,3,MA
228,1255,869,42.11,-73.12,Sandisfield,7,MA
229,1256,764,42.6,-73.02,Savoy,5,MA
230,1257,2164,42.1,-73.37,Sheffield,5,MA
231,1258,359,42.1,-73.46,South Egremont,5,MA
232,1259,556,42.08,-73.24,Southfield,5,MA
233,1260,545,42.3,-73.2,South Lee,9,MA
234,1262,1196,42.29,-73.31,Stockbridge,3,MA
235,1264,161,42.23,-73.21,Tyringham,3,MA
236,1266,1380,42.29,-73.37,West Stockbridge,5,MA
237,1267,7846,42.6,-73.3,Williamstown,10,MA
238,1270,814,42.51,-73.05,Windsor,5,MA
239,1301,17730,42.63,-72.59,Greenfield,6,MA
240,1330,1468,42.53,-72.81,Ashfield,5,MA
241,1331,13205,42.6,-72.2,Athol,8,MA
242,1337,2598,42.69,-72.58,Bernardston,6,MA
243,1338,138,42.58,-72.8,Buckland,1,MA
244,1339,1461,42.6,-72.9,Charlemont,9,MA
245,1340,1689,42.7,-72.7,Colrain,7,MA
246,1341,1716,42.51,-72.7,Conway,6,MA
247,1342,1768,42.54,-72.62,Deerfield,4,MA
248,1343,46,42.67,-72.99,Drury,3,MA
249,1344,1582,42.61,-72.43,Erving,5,MA
250,1346,465,42.65,-72.83,Heath,2,MA
251,1347,133,42.57,-72.48,Lake Pleasant,3,MA
252,1349,1106,42.57,-72.49,Millers Falls,3,MA
253,1350,95,42.72,-72.95,Monroe Bridge,2,MA
254,1351,2312,42.55,-72.51,Montague,4,MA
255,1354,1656,42.64,-72.51,Gill,4,MA
256,1355,915,42.4,-72.3,New Salem,11,MA
257,1360,3006,42.67,-72.45,Northfield,6,MA
258,1364,7832,42.6,-72.3,Orange,7,MA
259,1366,1202,42.5,-72.2,Petersham,8,MA
260,1367,686,42.7,-72.92,Rowe,5,MA
261,1368,1363,42.67,-72.19,Royalston,7,MA
262,1370,3879,42.6,-72.8,Shelburne Falls,9,MA
263,1373,4184,42.47,-72.61,South Deerfield,5,MA
264,1375,3673,42.47,-72.55,Sunderland,4,MA
