,DENSITY,POP,City,State,abrev
7349,421.72990258,1924,Zwolle,Louisiana,LA
6002,570.7171351,93,Zwingle,Iowa,IA
6629,527.18391851,95,Zurich,Kansas,KS
8969,1265.0908051,3455,Zumbrota,Minnesota,MN
8968,437.11801749,240,Zumbro Falls,Minnesota,MN
2455,1037.02659,1803,Zolfo Springs,Florida,FL
13766,305.43808725,178,Zoar,Ohio,OH
5059,507.4573961,27153,Zionsville,Indiana,IN
4492,2421.6394655,23705,Zion,Illinois,IL
1201,134.55154404,101,Zinc,Arkansas,AR
8967,1678.7820341,5829,Zimmerman,Minnesota,MN
8116,695.19643084,1537,Zilwaukee,Michigan,MI
18562,1824.6280801,3149,Zillah,Washington,WA
2454,1662.8345129,15563,Zephyrhills,Florida,FL
6628,358.15239524,80,Zenda,Kansas,KS
8966,138.62341005,91,Zemple,Minnesota,MN
15608,1774.7814725,3636,Zelienople,Pennsylvania,PA
4491,1269.5081636,1725,Zeigler,Illinois,IL
8115,1860.1276149,5564,Zeeland,Michigan,MI
12835,258.77094714,77,Zeeland,North Dakota,ND
12478,1212.6974634,5646,Zebulon,North Carolina,NC
2993,268.10999286,1197,Zebulon,Georgia,GA
6001,702.60689335,526,Zearing,Iowa,IA
17764,343.44922919,717,Zavalla,Texas,TX
12834,226.80436256,231,Zap,North Dakota,ND
5058,750.07985738,616,Zanesville,Indiana,IN
13765,2155.6896309,25364,Zanesville,Ohio,OH
13764,1809.0390381,192,Zanesfield,Ohio,OH
13763,615.78898016,271,Zaleski,Ohio,OH
7348,677.72175922,17678,Zachary,Louisiana,LA
10867,2239.2545226,1285,Yutan,Nebraska,NE
700,808.9589078,97908,Yuma,Arizona,AZ
1954,1109.6242188,3460,Yuma,Colorado,CO
14355,1037.9303177,27534,Yukon,Oklahoma,OK
1683,545.45446629,21726,Yucca Valley,California,CA
1682,1897.3439116,53682,Yucaipa,California,CA
1681,4495.9956783,66992,Yuba City,California,CA
19395,230.62236526,70,Yuba,Wisconsin,WI
1680,756.70997304,7556,Yreka,California,CA
8114,4966.4986434,20995,Ypsilanti,Michigan,MI
1679,2004.7814141,2982,Yountville,California,CA
15607,1497.422051,2872,Youngwood,Pennsylvania,PA
699,4597.2294229,6836,Youngtown,Arizona,AZ
12477,771.50849884,1340,Youngsville,North Carolina,NC
15606,1220.6632025,1624,Youngsville,Pennsylvania,PA
7347,1166.6901196,14077,Youngsville,Louisiana,LA
13762,1914.4160901,64958,Youngstown,Ohio,OH
15605,2757.3128828,307,Youngstown,Pennsylvania,PA
11927,1722.0210304,1889,Youngstown,New York,NY
2992,1737.5306643,1654,Young Harris,Georgia,GA
4490,1006.3750692,20119,Yorkville,Illinois,IL
16544,197.80077845,257,Yorkville,Tennessee,TN
13761,1716.729656,1017,Yorkville,Ohio,OH
11926,3843.0215668,2580,Yorkville,New York,NY
5057,349.42289278,11157,Yorktown,Indiana,IN
17763,1199.8118226,2073,Yorktown,Texas,TX
6000,312.49500346,85,Yorktown,Iowa,IA
13760,456.47658721,129,Yorkshire,Ohio,OH
15602,1341.6302336,230,Yorkana,Pennsylvania,PA
15604,3941.6543335,847,York Springs,Pennsylvania,PA
15603,2341.79467,698,York Haven,Pennsylvania,PA
10866,1315.4603964,7866,York,Nebraska,NE
15601,8335.0298259,44118,York,Pennsylvania,PA
460,330.21853275,2267,York,Alabama,AL
15887,971.1207048,8235,York,South Carolina,SC
12833,110.15519065,23,York,North Dakota,ND
1678,3416.3968421,67787,Yorba Linda,California,CA
11925,11084.858188,199663,Yonkers,New York,NY
14595,1611.2039934,1078,Yoncalla,Oregon,OR
15600,4220.2665883,1015,Yoe,Pennsylvania,PA
19494,733.44127215,156,Yoder,Wyoming,WY
17762,1297.6681482,5944,Yoakum,Texas,TX
5999,254.42550161,32,Yetter,Iowa,IA
10886,107.78784619,3176,Yerington,Nevada,NV
5056,1133.4811498,138,Yeoman,Indiana,IN
15886,150.90268737,962,Yemassee,South Carolina,SC
18561,1645.1490821,9374,Yelm,Washington,WA
1200,472.66336582,1170,Yellville,Arkansas,AR
13759,1371.2688872,3702,Yellow Springs,Ohio,OH
459,367.58519701,170,Yellow Bluff,Alabama,AL
14354,379.72068513,70,Yeager,Oklahoma,OK
