,accentcity,city,country,geopoint,latitude,longitude,population,region,point_count
129818,Lynden,lynden,us,"[48.9466667, -122.4508333]",48.9466667,-122.4508333,10816.0,WA,3
129823,Ferndale,ferndale,us,"[48.8466667, -122.5897222]",48.8466667,-122.5897222,10098.0,WA,3
129751,Bellingham,bellingham,us,"[48.7597222, -122.4869444]",48.7597222,-122.4869444,73469.0,WA,15
69177,Havre,havre,us,"[48.55, -109.6833333]",48.55,-109.6833333,9379.0,MT,2
129802,Anacortes,anacortes,us,"[48.5127778, -122.6113889]",48.5127778,-122.6113889,16061.0,WA,4
129819,Sedro-Woolley,sedro-woolley,us,"[48.5038889, -122.2361111]",48.5038889,-122.2361111,10605.0,WA,3
129836,Burlington,burlington,us,"[48.4758333, -122.3241667]",48.4758333,-122.3241667,8286.0,WA,2
129775,Mount Vernon,mount vernon,us,"[48.4213889, -122.3327778]",48.4213889,-122.3327778,29312.0,WA,6
75260,Grafton,grafton,us,"[48.4122222, -97.4102778]",48.4122222,-97.4102778,4148.0,ND,1
69182,Whitefish,whitefish,us,"[48.4111111, -114.3366667]",48.4111111,-114.3366667,6338.0,MT,2
129785,Oak Harbor,oak harbor,us,"[48.2933333, -122.6419444]",48.2933333,-122.6419444,22031.0,WA,5
29726,Sandpoint,sandpoint,us,"[48.2766667, -116.5522222]",48.2766667,-116.5522222,7785.0,ID,2
75251,Minot,minot,us,"[48.2325, -101.2958333]",48.2325,-101.2958333,34885.0,ND,7
69176,Kalispell,kalispell,us,"[48.1958333, -114.3119444]",48.1958333,-114.3119444,18018.0,MT,4
75256,Williston,williston,us,"[48.1333333, -103.6333333]",48.1333333,-103.6333333,11971.0,ND,3
129793,Port Angeles,port angeles,us,"[48.1183333, -123.4294444]",48.1183333,-123.4294444,18636.0,WA,4
129830,Port Townsend,port townsend,us,"[48.1172222, -122.7591667]",48.1172222,-122.7591667,8970.0,WA,2
75258,Devils Lake,devils lake,us,"[48.1127778, -98.8647222]",48.1127778,-98.8647222,6811.0,ND,2
129786,North Marysville,north marysville,us,"[48.0994444, -122.1475]",48.0994444,-122.1475,21922.0,WA,5
129774,Marysville,marysville,us,"[48.0519444, -122.1758333]",48.0519444,-122.1758333,29824.0,WA,6
129787,West Lake Stevens,west lake stevens,us,"[47.9936111, -122.1005556]",47.9936111,-122.1005556,21047.0,WA,5
129747,Everett,everett,us,"[47.9791667, -122.2008333]",47.9791667,-122.2008333,96993.0,WA,20
129790,Mukilteo,mukilteo,us,"[47.9447222, -122.3033333]",47.9447222,-122.3033333,19927.0,WA,4
75250,Grand Forks,grand forks,us,"[47.9252778, -97.0325]",47.9252778,-97.0325,48426.0,ND,10
129834,Snohomish,snohomish,us,"[47.9130556, -122.0969444]",47.9130556,-122.0969444,8708.0,WA,2
129811,Mill Creek,mill creek,us,"[47.8602778, -122.2030556]",47.8602778,-122.2030556,13466.0,WA,3
129804,Monroe,monroe,us,"[47.8555556, -121.9697222]",47.8555556,-121.9697222,15554.0,WA,4
129810,Martha Lake,martha lake,us,"[47.8511111, -122.2380556]",47.8511111,-122.2380556,13686.0,WA,3
129798,Alderwood Manor,alderwood manor,us,"[47.8222222, -122.2808333]",47.8222222,-122.2808333,16875.0,WA,4
129769,Lynnwood,lynnwood,us,"[47.8211111, -122.3138889]",47.8211111,-122.3138889,33478.0,WA,7
129778,North Creek,north creek,us,"[47.8197222, -122.175]",47.8197222,-122.175,26410.0,WA,6
29729,Rathdrum,rathdrum,us,"[47.8125, -116.8955556]",47.8125,-116.8955556,5725.0,ID,2
129764,Edmonds,edmonds,us,"[47.8108333, -122.3761111]",47.8108333,-122.3761111,39917.0,WA,8
129838,Esperance,esperance,us,"[47.7891667, -122.3541667]",47.7891667,-122.3541667,3833.0,WA,1
129789,Mountlake Terrace,mountlake terrace,us,"[47.7883333, -122.3075]",47.7883333,-122.3075,20445.0,WA,5
29716,Hayden,hayden,us,"[47.7661111, -116.7855556]",47.7661111,-116.7855556,11481.0,ID,3
